intervention_id,intervention_title,is_empty,outcome_id,outcome_title,total_records
2150,Urban mobility infrastructure,1,2189,Operational environmental sustainability,0
2150,Urban mobility infrastructure,1,2184,Resilience and continuity,0
2150,Urban mobility infrastructure,1,2201,Employment access and outcomes,0
2150,Urban mobility infrastructure,1,2187,Government expenditure on transport,0
2150,Urban mobility infrastructure,1,2180,Other transport infrastructure access and use,0
2150,Urban mobility infrastructure,1,2178,Private vehicle use,0
2150,Urban mobility infrastructure,1,2199,Inequality and segregation,0
2150,Urban mobility infrastructure,1,2188,Operational efficiency,0
2150,Urban mobility infrastructure,1,2181,"Travel time, commuting and speed",0
2150,Urban mobility infrastructure,1,2196,Health access and outcomes,0
2150,Urban mobility infrastructure,1,2176,Socioeconomic results,0
2150,Urban mobility infrastructure,1,2186,Vehicle ownership costs,0
2150,Urban mobility infrastructure,1,2193,Noise pollution,0
2150,Urban mobility infrastructure,1,2153,Quality,0
2150,Urban mobility infrastructure,1,2204,Agricultural outcomes,0
2150,Urban mobility infrastructure,1,2194,"Land, housing, and rent prices and affordability",0
2150,Urban mobility infrastructure,1,2182,Time used in other activities,0
2150,Urban mobility infrastructure,1,2175,Service management,0
2150,Urban mobility infrastructure,1,2195,Goods and services prices and inflation,0
2150,Urban mobility infrastructure,1,2174,Affordability,0
2150,Urban mobility infrastructure,1,2198,Access to other goods and services,0
2150,Urban mobility infrastructure,1,2197,Education access and outcomes,0
2150,Urban mobility infrastructure,1,2185,Transit affordability,0
2150,Urban mobility infrastructure,1,2177,Public transit access and use,0
2150,Urban mobility infrastructure,1,2191,Equity in public transport access and safety,0
2150,Urban mobility infrastructure,1,2200,Crime and citizen security,0
2150,Urban mobility infrastructure,1,2183,Transport safety,0
2150,Urban mobility infrastructure,1,2190,Financial performance,0
2150,Urban mobility infrastructure,1,2203,Trade and migration,0
2150,Urban mobility infrastructure,1,2152,Access and use,0
2150,Urban mobility infrastructure,1,2202,Economic activity,0
2150,Urban mobility infrastructure,1,2361,Household welfare and poverty,0
2150,Urban mobility infrastructure,1,2179,Rail services access and use,0
2150,Urban mobility infrastructure,1,2192,Air pollution and greenhouse gases,0
2173,Transportation network companies (ride-sharing firms),1,2189,Operational environmental sustainability,0
2173,Transportation network companies (ride-sharing firms),1,2184,Resilience and continuity,0
2173,Transportation network companies (ride-sharing firms),1,2187,Government expenditure on transport,0
2173,Transportation network companies (ride-sharing firms),1,2199,Inequality and segregation,0
2173,Transportation network companies (ride-sharing firms),1,2188,Operational efficiency,0
2173,Transportation network companies (ride-sharing firms),1,2176,Socioeconomic results,0
2173,Transportation network companies (ride-sharing firms),1,2193,Noise pollution,0
2173,Transportation network companies (ride-sharing firms),1,2153,Quality,0
2173,Transportation network companies (ride-sharing firms),1,2204,Agricultural outcomes,0
2173,Transportation network companies (ride-sharing firms),1,2182,Time used in other activities,0
2173,Transportation network companies (ride-sharing firms),1,2175,Service management,0
2173,Transportation network companies (ride-sharing firms),1,2195,Goods and services prices and inflation,0
2173,Transportation network companies (ride-sharing firms),1,2174,Affordability,0
2173,Transportation network companies (ride-sharing firms),1,2198,Access to other goods and services,0
2173,Transportation network companies (ride-sharing firms),1,2197,Education access and outcomes,0
2173,Transportation network companies (ride-sharing firms),1,2185,Transit affordability,0
2173,Transportation network companies (ride-sharing firms),1,2191,Equity in public transport access and safety,0
2173,Transportation network companies (ride-sharing firms),1,2190,Financial performance,0
2173,Transportation network companies (ride-sharing firms),1,2203,Trade and migration,0
2173,Transportation network companies (ride-sharing firms),1,2152,Access and use,0
2163,Highways and national roads,1,2189,Operational environmental sustainability,0
2163,Highways and national roads,1,2184,Resilience and continuity,0
2163,Highways and national roads,1,2187,Government expenditure on transport,0
2163,Highways and national roads,1,2188,Operational efficiency,0
2163,Highways and national roads,1,2176,Socioeconomic results,0
2163,Highways and national roads,1,2186,Vehicle ownership costs,0
2163,Highways and national roads,1,2193,Noise pollution,0
2163,Highways and national roads,1,2153,Quality,0
2163,Highways and national roads,1,2182,Time used in other activities,0
2163,Highways and national roads,1,2175,Service management,0
2163,Highways and national roads,1,2174,Affordability,0
2163,Highways and national roads,1,2198,Access to other goods and services,0
