record_id,title,authors,year_of_publication,study_type_raw,study_status,publication_type,publication_type_short,confidence_rating,doi,journal_name,url,keywords_string,intervention_ids,intervention_labels,outcome_ids,outcome_labels,evidence_types,cells
33535,JUE Insight: Efficiency of Bus Priority Infrastructure,"González, Felipe; Silva, Hugo E.",2025,ier,Completed,Journal article,JOUR,,10.1016/j.jue.2025.103751,JOURNAL OF URBAN ECONOMICS,https://www.sciencedirect.com/science/article/abs/pii/S0094119025000166?via%3Dihub,,2154,Bus Rapid Transit (BRT),2177;2181,"Public transit access and use;Travel time, commuting and speed",Impact evaluations,"Bus Rapid Transit (BRT) | Public transit access and use;Bus Rapid Transit (BRT) | Travel time, commuting and speed"
33479,Bus Quality Improvements and Local Commuter Mode Share,"Tyndall, Justin",2018,ier,Completed,Journal article,JOUR,,10.1016/j.tra.2018.04.011,Transportation Research Part A,,,2154,Bus Rapid Transit (BRT),2177;2181;2194;2201,"Public transit access and use;Travel time, commuting and speed;Land, housing, and rent prices and affordability;Employment access and outcomes",Impact evaluations,"Bus Rapid Transit (BRT) | Public transit access and use;Bus Rapid Transit (BRT) | Travel time, commuting and speed;Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability;Bus Rapid Transit (BRT) | Employment access and outcomes"
33899,The Causal Effect of Bus Rapid Transit on Changes in Transit Ridership,"Stewart, Orion T.; Vernez Moudon, Anne; Saelens, Brian E.",2017,ier,Completed,Journal article,JOUR,,10.5038/2375-0901.20.1.5,Journal of Public Transportation,https://www.sciencedirect.com/science/article/pii/S1077291X22000741,,2154,Bus Rapid Transit (BRT),2177,Public transit access and use,Impact evaluations,Bus Rapid Transit (BRT) | Public transit access and use
33277,The Impact of a Single Bus Rapid Transit Corridor on Transit Ridership: The Winnipeg Example,"Baker, Dwayne; Linovski, Orly",2022,ier,Completed,Journal article,JOUR,,10.1177/03611981221085531,TRANSPORTATION RESEARCH RECORD,https://journals.sagepub.com/doi/full/10.1177/03611981221085531?casa_token=J4t9e6h_QZ0AAAAA%3Aaxck-D5LWNpKAdH3kJHC4K4joyot4m2n_j-IFCJ4JHaXCTJkCtJ8w906ikQXD4IMEHmBknZRPhmcQg,,2154,Bus Rapid Transit (BRT),2177,Public transit access and use,Impact evaluations,Bus Rapid Transit (BRT) | Public transit access and use
33548,"Impacts of the Introduction of Bus Rapid Transit on Travel Behaviors of Commuters in Hanoi, Vietnam: A Quasi-Experimental Approach","Hoang-Tung, Nguyen; Kato, Hironori; Huy, Tran The; Le Binh, Phan; Duy, Luu",2021,ier,Completed,Journal article,JOUR,,10.1016/j.cstp.2020.10.002,CASE STUDIES ON TRANSPORT POLICY,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacts-of-the-introduction-of-bus-rapid-transit-on-travel-behaviors-of-commuters-in-hanoi--vietnam--a-quasi-experimental-approach/33548,Bus Rapid Transit (BRT) System|| Diffeerence-In-Difference|| Propensity-Score Matching|| Travel behavior,2154,Bus Rapid Transit (BRT),2177;2181,"Public transit access and use;Travel time, commuting and speed",Impact evaluations,"Bus Rapid Transit (BRT) | Public transit access and use;Bus Rapid Transit (BRT) | Travel time, commuting and speed"
33534,Transit Reforms in Intermediate Cities of Colombia: An Ex-Post Evaluation,"Gómez-Lobo, Andrés",2020,ier,Completed,Journal article,JOUR,,10.1016/j.tra.2019.11.014,Transportation Research Part A: Policy and Practice,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transit-reforms-in-intermediate-cities-of-colombia--an-ex-post-evaluation/33534,,2154,Bus Rapid Transit (BRT),2177;2188,Public transit access and use;Operational efficiency,Impact evaluations,Bus Rapid Transit (BRT) | Public transit access and use;Bus Rapid Transit (BRT) | Operational efficiency
33422,"Infrastructure Investments and Public Transport Use: Evidence from Lahore, Pakistan","Majid, Hadia; Malik, Ammar; Vyborny, Kate",2018,ier,Completed,Published working paper,RPRT,,No DOI,International Growth Centre WP,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/infrastructure-investments-and-public-transport-use--evidence-from-lahore--pakistan/33422,Bus Rapid Transit (BRT) System|| Public Transportation|| Commuting Patterns|| Lahore,2154,Bus Rapid Transit (BRT),2177;2178;2181,"Public transit access and use;Private vehicle use;Travel time, commuting and speed",Impact evaluations,"Bus Rapid Transit (BRT) | Public transit access and use;Bus Rapid Transit (BRT) | Private vehicle use;Bus Rapid Transit (BRT) | Travel time, commuting and speed"
33409,"Simple Pre-Post Analysis Overestimates the Impacts of New Public Transit Services on Ridership: Evidence from a Quasi-Experimental Study of New Bus Rapid Transit in Columbus, Ohio, USA","Lee, Jinhyung; Miller, Harvey, J.",2022,ier,Completed,Journal article,JOUR,,10.1016/j.jpubtr.2022.100035,Journal of Public Transportation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138145437&doi=10.1016%2fj.jpubtr.2022.100035&partnerID=40&md5=f9b1d0c680825c16504cb59f30709aec,,2154,Bus Rapid Transit (BRT),2177,Public transit access and use,Impact evaluations,Bus Rapid Transit (BRT) | Public transit access and use
8967,Transport and Urban Labour Market Integration: Evidence on Travel Time and Congestion From a Mass Transit Quasi-Experimental Evaluation and Evidence on Firms From a Randomised Control Trial in Pakistan,"Field, Erica; Junaid, Syed Uzair; Majid, Hadia; Malik, Ammar; Shahid, Alieha; Vyborny, Kate",2020,ier,Completed,3ie grantee final report,RPRT,,No DOI,Grantee Final Report,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transport-and-urban-labour-market-integration--evidence-on-travel-time-and-congestion-from-a-mass-transit-quasi-experimental-evaluation-and-evidence-on-firms-from-a-randomised-control-trial-in-pakistan/8967,Mass Transit|| Green Line Bus Rapid Transit|| CCTV|| Lahore Metrobus|| Job Talash|| Traffic Congestion,2154,Bus Rapid Transit (BRT),2177;2178;2181;2185;2191,"Public transit access and use;Private vehicle use;Travel time, commuting and speed;Transit affordability;Equity in public transport access and safety",Impact evaluations,"Bus Rapid Transit (BRT) | Public transit access and use;Bus Rapid Transit (BRT) | Private vehicle use;Bus Rapid Transit (BRT) | Travel time, commuting and speed;Bus Rapid Transit (BRT) | Transit affordability;Bus Rapid Transit (BRT) | Equity in public transport access and safety"
32196,Opportunity Bound: Transport and Access to College in a Megacity,"Vivar, Fabiola M. A.",2024,ier,Completed,Thesis,Thesis,,No DOI,Other,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/opportunity-bound--transport-and-access-to-college-in-a-megacity/32196,Development Economics|| Labor Markets|| College Students|| local transit|| ECONOMIC aspects|| universities and colleges,2154;2155,"Bus Rapid Transit (BRT);Urban trains (subways, passenger trains, LRT, metros)",2181;2197;2201,"Travel time, commuting and speed;Education access and outcomes;Employment access and outcomes",Impact evaluations,"Bus Rapid Transit (BRT) | Travel time, commuting and speed;Bus Rapid Transit (BRT) | Education access and outcomes;Bus Rapid Transit (BRT) | Employment access and outcomes;Urban trains (subways, passenger trains, LRT, metros) | Travel time, commuting and speed;Urban trains (subways, passenger trains, LRT, metros) | Education access and outcomes;Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes"
