Cost information,IDB study,Journal Rank,assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evaluation_method,evidence_types,id,income_level,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
None,No,Q1,,"González, Felipe; Silva, Hugo E.","[""Bus Rapid Transit (BRT) | Public transit access and use"", ""Bus Rapid Transit (BRT) | Travel time, commuting and speed""]",,"[""Latin America and Caribbean""]","[""Chile""]",10.1016/j.jue.2025.103751,Fixed effects (incl. DiD),"[""Impact evaluations""]",33535,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",JOURNAL OF URBAN ECONOMICS,,"[""2177"", ""2181""]","[""Public transit access and use"", ""Travel time, commuting and speed""]",Journal article,JOUR,33535,Published EGM,completed,JUE Insight: Efficiency of Bus Priority Infrastructure,ier,https://www.sciencedirect.com/science/article/abs/pii/S0094119025000166?via%3Dihub,2025
None,No,Q1,,"Tyndall, Justin","[""Bus Rapid Transit (BRT) | Public transit access and use"", ""Bus Rapid Transit (BRT) | Travel time, commuting and speed"", ""Bus Rapid Transit (BRT) | Land, housing, and rent prices and affordability"", ""Bus Rapid Transit (BRT) | Employment access and outcomes""]",,"[""North America""]","[""United States""]",10.1016/j.tra.2018.04.011,Statistical matching,"[""Impact evaluations""]",33479,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Transportation Research Part A,,"[""2177"", ""2181"", ""2194"", ""2201""]","[""Public transit access and use"", ""Travel time, commuting and speed"", ""Land, housing, and rent prices and affordability"", ""Employment access and outcomes""]",Journal article,JOUR,33479,Published EGM,completed,Bus Quality Improvements and Local Commuter Mode Share,ier,,2018
None,No,Q1,,"Stewart, Orion T.; Vernez Moudon, Anne; Saelens, Brian E.","[""Bus Rapid Transit (BRT) | Public transit access and use""]",,"[""North America""]","[""United States""]",10.5038/2375-0901.20.1.5,Fixed effects (incl. DiD),"[""Impact evaluations""]",33899,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Journal of Public Transportation,,"[""2177""]","[""Public transit access and use""]",Journal article,JOUR,33899,Published EGM,completed,The Causal Effect of Bus Rapid Transit on Changes in Transit Ridership,ier,https://www.sciencedirect.com/science/article/pii/S1077291X22000741,2017
None,No,Q3,,"Baker, Dwayne; Linovski, Orly","[""Bus Rapid Transit (BRT) | Public transit access and use""]",,"[""North America""]","[""Canada""]",10.1177/03611981221085531,Statistical matching,"[""Impact evaluations""]",33277,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",TRANSPORTATION RESEARCH RECORD,,"[""2177""]","[""Public transit access and use""]",Journal article,JOUR,33277,Published EGM,completed,The Impact of a Single Bus Rapid Transit Corridor on Transit Ridership: The Winnipeg Example,ier,https://journals.sagepub.com/doi/full/10.1177/03611981221085531?casa_token=J4t9e6h_QZ0AAAAA%3Aaxck-D5LWNpKAdH3kJHC4K4joyot4m2n_j-IFCJ4JHaXCTJkCtJ8w906ikQXD4IMEHmBknZRPhmcQg,2022
None,No,Q1,,"Hoang-Tung, Nguyen; Kato, Hironori; Huy, Tran The; Le Binh, Phan; Duy, Luu","[""Bus Rapid Transit (BRT) | Public transit access and use"", ""Bus Rapid Transit (BRT) | Travel time, commuting and speed""]",,"[""East Asia and Pacific""]","[""Vietnam""]",10.1016/j.cstp.2020.10.002,Fixed effects (incl. DiD),"[""Impact evaluations""]",33548,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",CASE STUDIES ON TRANSPORT POLICY,Bus Rapid Transit (BRT) System|| Diffeerence-In-Difference|| Propensity-Score Matching|| Travel behavior,"[""2177"", ""2181""]","[""Public transit access and use"", ""Travel time, commuting and speed""]",Journal article,JOUR,33548,Published,completed,"Impacts of the Introduction of Bus Rapid Transit on Travel Behaviors of Commuters in Hanoi, Vietnam: A Quasi-Experimental Approach",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacts-of-the-introduction-of-bus-rapid-transit-on-travel-behaviors-of-commuters-in-hanoi--vietnam--a-quasi-experimental-approach/33548,2021
None,No,Q1,,"Gómez-Lobo, Andrés","[""Bus Rapid Transit (BRT) | Public transit access and use"", ""Bus Rapid Transit (BRT) | Operational efficiency""]",,"[""Latin America and Caribbean""]","[""Colombia""]",10.1016/j.tra.2019.11.014,Fixed effects (incl. DiD),"[""Impact evaluations""]",33534,"[""Upper middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Transportation Research Part A: Policy and Practice,,"[""2177"", ""2188""]","[""Public transit access and use"", ""Operational efficiency""]",Journal article,JOUR,33534,Published,completed,Transit Reforms in Intermediate Cities of Colombia: An Ex-Post Evaluation,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transit-reforms-in-intermediate-cities-of-colombia--an-ex-post-evaluation/33534,2020
Cost-benefit/cost-effectiveness analyses,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Majid, Hadia; Malik, Ammar; Vyborny, Kate","[""Bus Rapid Transit (BRT) | Public transit access and use"", ""Bus Rapid Transit (BRT) | Private vehicle use"", ""Bus Rapid Transit (BRT) | Travel time, commuting and speed""]",,"[""South Asia""]","[""Pakistan""]",No DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",33422,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",International Growth Centre WP,Bus Rapid Transit (BRT) System|| Public Transportation|| Commuting Patterns|| Lahore,"[""2177"", ""2178"", ""2181""]","[""Public transit access and use"", ""Private vehicle use"", ""Travel time, commuting and speed""]",Published working paper,RPRT,33422,Published,completed,"Infrastructure Investments and Public Transport Use: Evidence from Lahore, Pakistan",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/infrastructure-investments-and-public-transport-use--evidence-from-lahore--pakistan/33422,2018
None,No,Q1,,"Lee, Jinhyung; Miller, Harvey, J.","[""Bus Rapid Transit (BRT) | Public transit access and use""]",,"[""North America""]","[""United States""]",10.1016/j.jpubtr.2022.100035,Fixed effects (incl. DiD),"[""Impact evaluations""]",33409,"[""High income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Journal of Public Transportation,,"[""2177""]","[""Public transit access and use""]",Journal article,JOUR,33409,Published EGM,completed,"Simple Pre-Post Analysis Overestimates the Impacts of New Public Transit Services on Ridership: Evidence from a Quasi-Experimental Study of New Bus Rapid Transit in Columbus, Ohio, USA",ier,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138145437&doi=10.1016%2fj.jpubtr.2022.100035&partnerID=40&md5=f9b1d0c680825c16504cb59f30709aec,2022
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Field, Erica; Junaid, Syed Uzair; Majid, Hadia; Malik, Ammar; Shahid, Alieha; Vyborny, Kate","[""Bus Rapid Transit (BRT) | Public transit access and use"", ""Bus Rapid Transit (BRT) | Private vehicle use"", ""Bus Rapid Transit (BRT) | Travel time, commuting and speed"", ""Bus Rapid Transit (BRT) | Transit affordability"", ""Bus Rapid Transit (BRT) | Equity in public transport access and safety""]",,"[""South Asia""]","[""Pakistan""]",No DOI,Statistical matching,"[""Impact evaluations""]",8967,"[""Lower middle income""]","[""2154""]","[""Bus Rapid Transit (BRT)""]",Grantee Final Report,Mass Transit|| Green Line Bus Rapid Transit|| CCTV|| Lahore Metrobus|| Job Talash|| Traffic Congestion,"[""2177"", ""2178"", ""2181"", ""2185"", ""2191""]","[""Public transit access and use"", ""Private vehicle use"", ""Travel time, commuting and speed"", ""Transit affordability"", ""Equity in public transport access and safety""]",3ie grantee final report,RPRT,8967,Published,completed,Transport and Urban Labour Market Integration: Evidence on Travel Time and Congestion From a Mass Transit Quasi-Experimental Evaluation and Evidence on Firms From a Randomised Control Trial in Pakistan,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transport-and-urban-labour-market-integration--evidence-on-travel-time-and-congestion-from-a-mass-transit-quasi-experimental-evaluation-and-evidence-on-firms-from-a-randomised-control-trial-in-pakistan/8967,2020
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Vivar, Fabiola M. A.","[""Bus Rapid Transit (BRT) | Travel time, commuting and speed"", ""Bus Rapid Transit (BRT) | Education access and outcomes"", ""Bus Rapid Transit (BRT) | Employment access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Travel time, commuting and speed"", ""Urban trains (subways, passenger trains, LRT, metros) | Education access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes""]",,"[""Latin America and Caribbean""]","[""Peru""]",No DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",32196,"[""Upper middle income""]","[""2154"", ""2155""]","[""Bus Rapid Transit (BRT)"", ""Urban trains (subways, passenger trains, LRT, metros)""]",Other,Development Economics|| Labor Markets|| College Students|| local transit|| ECONOMIC aspects|| universities and colleges,"[""2181"", ""2197"", ""2201""]","[""Travel time, commuting and speed"", ""Education access and outcomes"", ""Employment access and outcomes""]",Thesis,Thesis,32196,Published,completed,Opportunity Bound: Transport and Access to College in a Megacity,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/opportunity-bound--transport-and-access-to-college-in-a-megacity/32196,2024
